"","Cha_EAP","CoS_EAP","DaD_EAP","SE_Cha","SE_CoS","SE_DaD","raw.Cha","raw.CoS","raw.DaD","max.Cha","max.CoS","max.DaD"
"145",-0.205335583283119,1.13762511874902,0.0356433953590164,0.571497000273048,0.555470400418921,0.269040986639988,2,18,4,8,20,14
"146",1.11546884499518,2.17133372583246,0.772834733711357,0.584625583884785,0.696160671171055,0.354525308763419,5,19,5,8,20,6
"147",0.777397953179066,0.307589190894824,0.0217118530605385,0.546597827501419,0.485329313984492,0.260518165574178,6,14,4,8,20,14
"148",0.361732149131909,0.986353926841675,0.0866366564970698,0.547090005722604,0.537172629919254,0.24644693608657,4,17,9,8,20,24
"149",0.272543177888777,1.66235401114692,0.282218228817542,0.567907740389262,0.62957407771672,0.349011996459288,3,19,2,8,20,6
"150",0.272224368578687,0.678060154895053,-0.00970501225775067,0.550613406620102,0.513911308517091,0.268143496688788,4,16,5,8,20,16
"151",0.85525885315157,1.16208645470891,0.551454489106506,0.564243881190173,0.599460705496492,0.336210514032483,5,15,5,8,18,6
"152",0.277970924840867,0.488236569916535,0.0790914124911691,0.546575158183348,0.496098368393378,0.240978928257946,4,15,10,8,20,24
"153",0.530509491863794,1.1945900965651,0.420662635279341,0.559627634446654,0.57525351720195,0.341935411840843,4,17,4,8,20,6
"154",0.0617405042378261,0.722913745053616,0.144804560596344,0.559251106381193,0.520710918501461,0.281764747371098,3,16,8,8,20,18
"155",0.987945147187708,1.14556471613205,0.199643331209953,0.562896287135008,0.564158380277658,0.309006102438905,6,17,6,8,20,16
"156",0.530509491863794,1.1945900965651,0.420662635279341,0.559627634446653,0.57525351720195,0.341935411840843,4,17,4,8,20,6
"157",-1.30777005938,-1.25126586490072,-0.639271401766749,0.631390361287777,0.434323680753189,0.302271808524596,1,8,2,8,20,12
"158",0.174955918884749,-0.308759605212725,0.145788958227801,0.553242147314615,0.451368020798632,0.290076838238306,4,11,8,8,20,14
"159",-0.816214418705924,-0.971410615653414,-0.456224656951218,0.605650111240827,0.433754512687194,0.313940962406767,2,9,3,8,20,12
"160",0.696317636034314,-0.12047526919952,-0.00784615254808488,0.544525790456103,0.458459121702038,0.263330550010693,6,12,6,8,20,16
"161",-0.804577968086379,-1.11209516233199,-0.375488849404425,0.608993453581691,0.435803616785238,0.337378902930114,2,8,2,8,20,6
"162",1.10770192766107,1.06495156829955,0.51951580895091,0.557604273857193,0.541842155836907,0.240777228740472,6,16,14,8,20,24
"163",-0.197891810988425,-0.246207124677825,-0.0780884152458022,0.570161102059678,0.455639335360142,0.295887969944406,3,12,5,8,20,12
"164",0.314785483700302,0.339879652139335,0.229093779447756,0.555653164643988,0.496719494091039,0.322525216607124,4,14,6,8,20,10
"165",-0.525628597424107,-0.912297688190524,0.133847822852436,0.583421332087987,0.430071617220764,0.275743641871698,2,8,12,8,20,18
"166",-0.169165949068577,-0.0542525430921267,-0.0873506597005416,0.573082984769832,0.47033032378912,0.322758684754572,3,13,2,8,20,6
"167",0.982234519470063,0.517731531517551,0.435896462296008,0.560263428785708,0.508674895118708,0.314881344796931,6,14,8,8,20,12
